Full Name	Email Address	Major	Educational Stage	If other please add here	Expected Graduation/Completion Date	How DS helps goals	Research categories of interest	Other Research Category	Primary Research Area of interest	Other primary research area	2nd research area interest	Other secondary research area	3rd research area of interest	Other third choice research area	Research interests.	Prior research skills	Other research skills/experience	Prior Research description	NIH guidelines state that trainees supported throu	Gender identity	Other gender identity	Sexual orientation	Other sexual orientation	Race/Ethnicity:	Other Race/Ethnicity	Are you from a disadvantaged background?	Which of the following describes your disability	Other disability	Notes	Do you consider yourself transgender?	Other transgender answer	First generation born/raised in US	First generation to attend college	Eligible for NIH Diversity Supplement	Citizenship	Please attach the following documents	PREP Interest
Mariana Mitchell	mariana.mitchell@university.edu	Data Science and Artificial Intelligence	Post-Baccalaureate student		21-May	"By receiving an NIH diversity supplement, I could contribute to our understanding of the role of RNA in gene regulation, advancing our knowledge of gene expression."	"Basic Science Research
Health Disparities Research"		Human Genetics		Computational Biology/Medical Informatics		Cancer Biology & Cell Signaling		My research aims to unravel the role of RNA in gene regulation.	"AI Ethics and Explainability
Computer Vision
Data analysis
Data preprocessing
Data visualization
Deep learning
Model Evaluations
NLP
Qualitative analytical skills/experience
Quantitative analytical skills/experience
Sequencing Data
Text analysis"		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Female/Woman		Heterosexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Adrian Perez	adrian.perez@university.edu	Cell and Molecular Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to study the impact of exercise on brain function and cognitive decline, promoting brain health."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Computational Biology/Medical Informatics		Other	Molecular Epidemiology	Studying the impact of exercise on brain function and cognitive decline is a key interest of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman		Heterosexual		African American/Black						No		Yes		Yes	Yes		Yes
Natalia Roberts	natalia.roberts@university.edu	Molecular and Cell Biology	Other	Just graduated	24-May	"An NIH diversity supplement would support my research on the molecular mechanisms of drug side effects, leading to safer and more effective medications."	"Basic Science Research
Clinical/Translational Research"		Immunology		Cancer Biology & Cell Signaling		Tissue / Organ Biology & Endocrinology		Investigating the molecular mechanisms of drug side effects is a primary focus of my research.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Gay		"Asian (Other than Filipino, Hmong or Vietnamese)"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Alejandro Turner	alejandro.turner@university.edu	Chemical Biology	Undergraduate student		23-Dec	"By receiving an NIH diversity supplement, I could develop new technologies for personalized cancer treatment, improving outcomes for cancer patients."	Clinical/Translational Research		Chemistry and chemical biology		Computational Biology/Medical Informatics		Immunology		Developing technologies for personalized cancer treatment is a key aspect of my research.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Nonbinary		Gay		Hispanic/Latinx		Yes	"Cognitive
Mobility/Orthopedic Impairment"			No		Yes	Yes	Yes	Yes		Yes
Gabriela Phillips	gabriela.phillips@university.edu	Molecular and Cell Biology	Undergraduate student		24-Jun	"With the support of an NIH diversity supplement, I would be able to investigate the role of the immune system in autoimmune diseases, contributing to the development of targeted therapies."	"Clinical/Translational Research
Community-Based Participatory Research
Other"	Biostatistics	Epidemiology & Biostatistics		Computational Biology/Medical Informatics		Tissue / Organ Biology & Endocrinology		My research focuses on investigating the role of the immune system in autoimmune diseases.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Female/Woman		Asexual		"Asian (Other than Filipino, Hmong or Vietnamese)"		Yes	Does not apply			No		Yes	Prefer not to answer	Yes	Yes		Yes
Diego Campbell	diego.campbell@university.edu	Human Biology	Other	Bachelor's Degree holder	23-Jun	"An NIH diversity supplement would enable me to study the impact of environmental toxins on reproductive health, providing insights into the effects of chemical exposures."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Neurobiology		Developmental & Stem Cell Biology		No preference		Studying the impact of environmental toxins on reproductive health is a primary interest of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Male/Man		Heterosexual		Hispanic/Latinx		Yes	Visual			No		Yes	Prefer not to answer	Yes	Yes		Yes
Valeria Parker	valeria.parker@university.edu	Psychology	Master's degree holder		23-May	"By receiving an NIH diversity supplement, I could investigate the genetic basis of neurodegenerative diseases, advancing our understanding of these devastating conditions."	Community-Based Participatory Research		Other	Psychology	No preference		No preference		Investigating the genetic basis of neurodegenerative diseases is a key focus of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Male/Man		Gay		African American/Black	"Mixed Belizean-American, Immigrant Origin"	Yes	Does not apply			Yes		Yes	Yes	Yes	CA		Yes
Samuel Evans	samuel.evans@university.edu	"Molecular, cell, and developmental biology"	Post-Baccalaureate student		6/15/23	"With the support of an NIH diversity supplement, I would be able to develop new therapies for spinal cord injuries using stem cells, potentially restoring function in affected individuals."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research"		Neurobiology		Immunology		Cancer Biology & Cell Signaling		Developing therapies for spinal cord injuries using stem cells is a primary interest of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman		Gay		Hispanic/Latinx		Yes	Does not apply			No		Yes	Yes	Yes	Yes		No
Isabella Edwards	isabella.edwards@university.edu	Molecular Biology	Post-Baccalaureate student		21-May	"An NIH diversity supplement would facilitate my research on understanding the role of inflammation in heart disease, informing strategies for prevention and treatment."	"Basic Science Research
Clinical/Translational Research
Outcomes/Epidemiology Research"		Cancer Biology & Cell Signaling		Tissue / Organ Biology & Endocrinology		Virology & Microbial Pathogenesis		My research aims to understand the role of inflammation in heart disease.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Male/Man		Queer		Other		Yes	Does not apply			Prefer not to respond/disclose		Yes	Yes	Yes	Yes		Yes
Lucia Collins	lucia.collins@university.edu	"Human Biology and Society, Anthropology"	Undergraduate student		24-Jun	"By receiving an NIH diversity supplement, I could study the impact of diet on metabolic syndrome and diabetes, providing insights into lifestyle interventions for these conditions."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Neurobiology		Immunology		Developmental & Stem Cell Biology		Investigating the impact of diet on metabolic syndrome and diabetes is a key focus of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience"		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Male/Man		Heterosexual		Hispanic/Latinx		Yes				No		Yes	Yes	Yes	Yes		Yes
Juan Stewart	juan.stewart@university.edu	Molecular and Cell Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to investigate the genetic basis of psychiatric disorders, contributing to our understanding and treatment of mental illness."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Reproductive Science		Cancer Biology & Cell Signaling		Neurobiology		Studying the genetic basis of psychiatric disorders is a primary interest of my research.	Quantitative analytical skills/experience		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."				Heterosexual		"Middle Eastern North African
Other"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Camila Sanchez	camila.sanchez@university.edu	"Psychology, Neurobiology and Cognitive Science"	Undergraduate student		23-Jun	"An NIH diversity supplement would enable me to develop new drug discovery approaches using artificial intelligence, accelerating the development of innovative therapies."	"Basic Science Research
Clinical/Translational Research"		Neurobiology		Computational Biology/Medical Informatics		Other	Computational and Cognitive Neuroscience	Developing new drug discovery approaches using artificial intelligence is a key aspect of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Female/Woman		Heterosexual		"African American/Black
American Indian/Alaskan Native"	"Moroccan American, Mixed Race"	Yes	Does not apply			No		Prefer not to answer	No	Yes	Yes		Yes
Mateo Morris	mateo.morris@university.edu	Molecular and cellular biology	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could contribute to our understanding of the role of the microbiome in gastrointestinal diseases, informing interventions for these conditions."	"Basic Science Research
Clinical/Translational Research"		Neurobiology		Tissue / Organ Biology & Endocrinology		Computational Biology/Medical Informatics		My research focuses on unraveling the role of the microbiome in gastrointestinal diseases.	"Experience working with human subjects or animals
Qualitative analytical skills/experience"		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Female/Woman		Heterosexual		"Filipino, Hmong, or Vietnamese"		Yes						Yes		Yes	Yes		Yes
Isabella Rogers	isabella.rogers@university.edu	Nutritional Science - Physiology & Metabolism	Post-Baccalaureate student		23-May	"With the support of an NIH diversity supplement, I would be able to study the impact of exercise on muscle and bone health, promoting healthy aging and preventing age-related conditions."	"Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Virology & Microbial Pathogenesis		Computational Biology/Medical Informatics		Epidemiology & Biostatistics		Investigating the impact of exercise on muscle and bone health is a primary interest of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Male/Man				"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Santiago Reed	santiago.reed@university.edu	"Molecular, Cell, and Developmental Biology"	Undergraduate student		24-Jun	"An NIH diversity supplement would facilitate my research on the molecular mechanisms of drug resistance in cancer, contributing to the development of targeted therapies."	Basic Science Research		Bioengineering		Developmental & Stem Cell Biology		Cancer Biology & Cell Signaling		Investigating the molecular mechanisms of drug resistance in cancer is a key focus of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Heterosexual		"Filipino, Hmong, or Vietnamese
Other
White"		Yes	Does not apply			No		Yes	No	Yes	Yes		Yes
Valentina Cook	valentina.cook@university.edu	Cell and Molecular Biology	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could develop new therapies for autoimmune diseases using gene editing techniques, offering new treatment options for patients."	Basic Science Research		Neurobiology		Developmental & Stem Cell Biology		Immunology		Developing therapies for autoimmune diseases using gene editing techniques is a primary interest of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Female/Woman		Heterosexual		Hispanic/Latinx		Yes	Visual			No		Yes	Yes	Yes	Yes		Yes
Leonardo Morgan	leonardo.morgan@university.edu	Biology (concentration in Physiology)	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to study the role of epigenetics in cancer development, providing insights into the mechanisms of tumor growth."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Bioengineering		Epidemiology & Biostatistics		Computational Biology/Medical Informatics		Studying the role of epigenetics in cancer development is a key aspect of my research.	Quantitative analytical skills/experience		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Male/Man		Gay		White		Yes	Does not apply			No		No	Yes	Yes	Yes		Yes
Valeria Bell	valeria.bell@university.edu	Integrative Biology	Undergraduate student		24-May	"An NIH diversity supplement would enable me to investigate the impact of social factors on mental health disparities, contributing to efforts to reduce health inequities."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Reproductive Science		Neurobiology		Cancer Biology & Cell Signaling		Investigating the impact of social factors on mental health disparities is a primary focus of my research.	Experience working with human subjects or animals		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."				Questioning		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Gabriel Murphy	gabriel.murphy@university.edu	Psychology	Post-Baccalaureate student		20-Dec	"By receiving an NIH diversity supplement, I could contribute to our understanding of the genetic basis of developmental disorders, leading to improved diagnostics and interventions."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Neurobiology		Developmental & Stem Cell Biology		Other	Behavioral Psychology	Understanding the genetic basis of developmental disorders is a key interest of my research.	Experience working with human subjects or animals		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Male/Man		Heterosexual		"Filipino, Hmong, or Vietnamese
White"		No	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Catalina Bailey	catalina.bailey@university.edu	Integrative Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to develop new diagnostic tools for infectious diseases using nanotechnology, enhancing disease detection and monitoring."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research
developmental biology
molecular biology
neuroscience"		Neurobiology		Cancer Biology & Cell Signaling		Reproductive Science		Developing diagnostic tools for infectious diseases using nanotechnology is a primary focus of my research.	"Experience working with human subjects or animals
Other
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman				Hispanic/Latinx		No	Cognitive			No		Yes	No	No	Yes		Yes
Xavier Rivera	xavier.rivera@university.edu	Biological Sciences/Microbiology	Undergraduate student		23-Dec	"An NIH diversity supplement would facilitate my research on the role of epigenetics in aging and age-related diseases, shedding light on the underlying mechanisms of aging."	"Basic Science Research
Clinical/Translational Research
Outcomes/Epidemiology Research"		Virology & Microbial Pathogenesis		Immunology		Bioengineering		My research aims to unravel the role of epigenetics in aging and age-related diseases.	Quantitative analytical skills/experience		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Heterosexual				Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Ana Cooper	ana.cooper@university.edu	Molecular and Cell Biology	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could study the impact of sleep disorders on cardiovascular health, informing strategies for prevention and treatment of heart disease."	"Basic Science Research
Clinical/Translational Research"		Neurobiology		Cancer Biology & Cell Signaling		Developmental & Stem Cell Biology		Studying the impact of sleep disorders on cardiovascular health is a key interest of my research.	Other		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Male/Man		Gay		"African American/Black
Hispanic/Latinx
Other"	North African	Yes	Does not apply			No		Yes	No	Yes	Yes		I don't know
Andres Richardson	andres.richardson@university.edu	Bioengineering	Undergraduate student		23-Dec	"With the support of an NIH diversity supplement, I would be able to investigate the molecular mechanisms of drug-induced liver injury, improving drug safety and patient outcomes."	Clinical/Translational Research		Immunology		Tissue / Organ Biology & Endocrinology		Cancer Biology & Cell Signaling		Investigating the molecular mechanisms of drug-induced liver injury is a primary focus of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Prefer not to respond		Heterosexual		African American/Black		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Vanessa Cox	vanessa.cox@university.edu	Biology: Physiology and Behavioral Sciences	Other	Current Master's Student	24-May	"With the support of an NIH diversity supplement, I could investigate the molecular mechanisms of drug-induced kidney injury, improving our understanding of drug toxicity."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Computational Biology/Medical Informatics		Reproductive Science		Cancer Biology & Cell Signaling		Investigating the molecular mechanisms of drug-induced kidney injury is a key aspect of my research.	Quantitative analytical skills/experience		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Male/Man		Heterosexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Daniel Howard	daniel.howard@university.edu	"Psychology, Pre Pharmacy"	Undergraduate student		5/20/24	"By receiving an NIH diversity supplement, I would have the opportunity to develop new therapies for genetic eye disorders using gene therapy, offering hope to individuals with these conditions."	"Basic Science Research
Health Disparities Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Developmental & Stem Cell Biology		Tissue / Organ Biology & Endocrinology		Developing therapies for genetic eye disorders using gene therapy is a primary interest of my research.	Qualitative analytical skills/experience		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Female/Woman		Heterosexual		White		Yes	Does not apply			No		No	No	Yes	Yes		Yes
Mariana Ward	mariana.ward@university.edu	Molecular Environmental Biology	Undergraduate student		24-May	"With an NIH diversity supplement, I could contribute to our understanding of the role of chromatin remodeling in gene expression, advancing our knowledge of gene regulation."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Virology & Microbial Pathogenesis		Immunology		Other	No preference: there are multiple research areas listed above that I equally have interest in and would be privilege to be able to participate in.	My research focuses on exploring the role of chromatin remodeling in gene expression.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman		Queer		Hispanic/Latinx		Yes	Cognitive			No		Yes	Yes	Yes	Yes		Yes
Emilio Torres	emilio.torres@university.edu	Integrative Biology	Undergraduate student		24-May	"An NIH diversity supplement would enable me to study the impact of exercise on metabolic health and insulin resistance, contributing to interventions for preventing and managing metabolic diseases."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Immunology		Vascular & Cardiac Biology		Cancer Biology & Cell Signaling		Investigating the impact of exercise on metabolic health and insulin resistance is a key focus of my research.	Other	n/a	"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Male/Man		Gay		Hispanic/Latinx			Does not apply			No		Yes	Yes	Yes	Yes		Yes
Ximena Peterson	ximena.peterson@university.edu	"Molecular and Cell Biology, Infectious Disease Emphasis"	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could investigate the genetic basis of rare neurological disorders, improving diagnostics and treatment options for affected individuals."	"Basic Science Research
Clinical/Translational Research"		Immunology		Virology & Microbial Pathogenesis		Developmental & Stem Cell Biology		Understanding the genetic basis of rare neurological disorders is a primary interest of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Male/Man		Asexual		"Hispanic/Latinx
White"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Carlos Gray	carlos.gray@university.edu	Biology	Master's degree holder		23-Dec	"With the support of an NIH diversity supplement, I would be able to develop new diagnostic tools for infectious diseases using microfluidics, enhancing disease detection and monitoring."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Other"		Computational Biology/Medical Informatics		Cancer Biology & Cell Signaling		Epidemiology & Biostatistics		Developing diagnostic tools for infectious diseases using microfluidics is a key aspect of my research.	"Other
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Female/Woman		Heterosexual		Other		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Luna Ramirez	luna.ramirez@university.edu	Chemistry	Undergraduate student		24-May	"An NIH diversity supplement would facilitate my research on the role of inflammation in lung diseases, providing insights into the mechanisms and potential therapeutic targets."	"Basic Science Research
Clinical/Translational Research
Outcomes/Epidemiology Research"		Virology & Microbial Pathogenesis		Chemistry and chemical biology		Immunology		Investigating the role of epigenetics in cancer metastasis is a primary focus of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Female/Woman		Bisexual		"Asian (Other than Filipino, Hmong or Vietnamese)"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Alejandro James	alejandro.james@university.edu	"Molecular and Cellular Biology, and Psychology"	Post-Baccalaureate student		23-May	"By receiving an NIH diversity supplement, I could study the impact of environmental pollutants on neurodevelopmental disorders, informing efforts to reduce environmental risks."	"Clinical/Translational Research
Community-Based Participatory Research"		Neurobiology		Cancer Biology & Cell Signaling		Vascular & Cardiac Biology		Studying the impact of stress on cardiovascular health is a key interest of my research.	Experience working with human subjects or animals		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Female/Woman		Heterosexual		African American/Black		No	Cognitive			No		Yes	No	Yes	Yes		Yes
Victoria Watson	victoria.watson@university.edu	Kinesiology	Post-Baccalaureate student		19-Dec	"With the support of an NIH diversity supplement, I would be able to investigate the genetic basis of autoimmune skin diseases, leading to better understanding and treatment options."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		No preference		No preference		No preference		Investigating the molecular mechanisms of drug transport and efflux is a primary focus of my research.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman		Heterosexual		"African American/Black
Native Hawaiian/Other Pacific Islander"		Yes	Does not apply			No		Prefer not to answer	Yes	Yes	Yes		Yes
Eduardo Brooks	eduardo.brooks@university.edu	Bioengineering	Post-Baccalaureate student		22-Dec	"An NIH diversity supplement would enable me to develop new diagnostic tools for cancer using liquid biopsies, improving cancer detection and patient outcomes."	"Basic Science Research
Clinical/Translational Research"		Bioengineering		Cancer Biology & Cell Signaling		Tissue / Organ Biology & Endocrinology		Developing therapies for neurodegenerative diseases using tissue regeneration is a key aspect of my research.	"Quantitative analytical skills/experience
medical imaging applications
medical imaging research"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Pansexual		African American/Black		Yes	Does not apply			No		Yes	Yes	Yes	Yes		I don't know
Zoe Kelly	zoe.kelly@university.edu	Human Biology B.S	Undergraduate student		05/2024 Undergraduate degree	"By receiving an NIH diversity supplement, I could contribute to our understanding of the role of the microbiome in immune system development, shedding light on immune-related disorders."	"Clinical/Translational Research
Community-Based Participatory Research"		Developmental & Stem Cell Biology		Vascular & Cardiac Biology		Neurobiology		My research aims to understand the impact of environmental pollutants on metabolic disorders.	Other	N/A	"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Male/Man		Prefer not to answer		African American/Black		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Javier Sanders	javier.sanders@university.edu	Molecular Cellular Biology	Post-Baccalaureate student		23-May	"With the support of an NIH diversity supplement, I would be able to study the impact of diet on gut health and inflammatory bowel diseases, informing dietary interventions."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research"		Neurobiology		Cancer Biology & Cell Signaling		Chemistry and chemical biology		Investigating the genetic basis of rare bone disorders is a primary focus of my research.	Other		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Female/Woman		Heterosexual		White		Yes	Does not apply			Unsure/Maybe/Questioning/Exploring		Yes	No	Yes	Yes		Yes
Sofia Price	sofia.price@university.edu	Biology	Master's degree holder		23-Aug	"An NIH diversity supplement would facilitate my research on the molecular mechanisms of drug-induced cardiotoxicity, improving drug safety and patient care."	Basic Science Research		Human Genetics		Bioengineering		No preference		Developing diagnostic tools for genetic diseases using next-generation sequencing is a key interest of my research.	Qualitative analytical skills/experience		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Nonbinary		Heterosexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		No	Yes	Yes	Yes		Yes
Carmen Bennett	carmen.bennett@university.edu	Psychology B.S (biological emphasis)	Undergraduate student		24-Jun	"By receiving an NIH diversity supplement, I could develop new therapies for genetic blood disorders using gene therapy, offering potential cures for these conditions."	"Basic Science Research
Clinical/Translational Research"		Neurobiology		Tissue / Organ Biology & Endocrinology		Reproductive Science		Investigating the role of the microbiome in inflammatory diseases is a primary focus of my research.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Female/Woman		Heterosexual				Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Cristian Wood	cristian.wood@university.edu	Cell and Molecular Biology	Master's degree holder		23-May	"With the support of an NIH diversity supplement, I would be able to study the role of chromatin structure in cancer development, advancing our understanding of tumor biology."	"Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Computational Biology/Medical Informatics		Epidemiology & Biostatistics		Virology & Microbial Pathogenesis		Studying the impact of diet on brain health and neurodegeneration is a key interest of my research.	Quantitative analytical skills/experience		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman		Bisexual		Hispanic/Latinx		Yes	Does not apply			No		No	Yes	Yes	Yes		Yes
Mariana Barnes	mariana.barnes@university.edu	Biology: Cell and Molecular	Master's degree holder		23-May	"An NIH diversity supplement would enable me to investigate the impact of exercise on mental health and well-being, promoting holistic approaches to mental wellness."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research"		Biophysics		Computational Biology/Medical Informatics		Chemistry and chemical biology		Investigating the molecular mechanisms of drug-induced kidney injury is a primary focus of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Gay		Hispanic/Latinx		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Adrian Ross	adrian.ross@university.edu	Molecular and Cellular Biology (emphasis: Neurobiology)	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could contribute to our understanding of the genetic basis of rare lung diseases, leading to improved diagnostics and treatments."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research"		Neurobiology		Computational Biology/Medical Informatics		Biophysics		Studying the impact of stress on immune function and inflammation is a key aspect of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience"		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Male/Man		Heterosexual		"Asian (Other than Filipino, Hmong or Vietnamese)"		Yes	Cognitive			No		No	No	Yes	California		Yes
Natalia Henderson	natalia.henderson@university.edu	Molecular and Cell Biology with an emphasis in Neurobiology	Undergraduate student		Fall 2023	"With the support of an NIH diversity supplement, I would be able to develop new diagnostic tools for infectious diseases using CRISPR technology, enhancing disease detection and surveillance."	"Basic Science Research
Health Disparities Research"		Neurobiology		Bioengineering		Cancer Biology & Cell Signaling		Exploring the genetic basis of autoimmune skin diseases is a primary interest of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Male/Man		Prefer not to answer		Hispanic/Latinx		No	Does not apply			No		Yes	Yes	Yes	Yes		I don't know
