StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q32	Q33	Q34	Q35	Q36	Q12
12/19/23 18:39	1/16/24 21:24	IP Address	73.15.6.153	100	2429095	TRUE	1/16/24 21:24	R_3AOYhZvzqy7kvmx					37.8668	-122.2924	anonymous	EN	Valentina Simmons	valentina.simmons@university.edu	Ava Brown	Violet Campbell	Scarlett Lewis	Adeline Ward		
1/6/24 22:54	1/16/24 22:17	IP Address	23.93.66.241	100	861811	TRUE	1/16/24 22:18	R_5LcHdSA4XDFffja					37.8922	-122.2729	anonymous	EN	Leonardo Foster	leonardo.foster@university.edu	Harper Thomas	Hannah Adams	Anna Morgan	Matthew Myers	Kinsley Cooper	
1/16/24 22:05	1/16/24 22:19	IP Address	73.70.102.202	100	799	TRUE	1/16/24 22:19	R_70H194wS8M5pV4l					37.8767	-122.2676	anonymous	EN	Gabriela Gonzales	gabriela.gonzales@university.edu	Autumn Wood	Zoey Lopez	Madelyn Watson	Savannah Evans		
1/14/24 21:24	1/16/24 22:20	IP Address	135.180.197.196	100	176153	TRUE	1/16/24 22:20	R_59uXROUOFx7xW5K					37.8637	-122.276	anonymous	EN	Xavier Bryant	xavier.bryant@university.edu	Ella Garcia	Emma Smith	Layla King	Adeline Ward	Evelyn Jackson	
1/16/24 18:06	1/16/24 23:07	IP Address	73.70.231.128	100	18047	TRUE	1/16/24 23:07	R_1nYNr4EgMpZi2aU					37.976	-122.3359	anonymous	EN	Ana Alexander	ana.alexander@university.edu	Peyton Ross	Sara Alexander	Andrew Hughes	Ella Garcia		
12/19/23 19:33	1/16/24 23:19	IP Address	107.195.42.141	100	2432731	TRUE	1/16/24 23:19	R_6mkCBNrAaIQEDru					34.1027	-118.2231	anonymous	EN	Andres Russell	andres.russell@university.edu	Ross Simmons	Catera Ellis	Matthew Washington			
1/16/24 23:20	1/16/24 23:21	IP Address	107.195.42.141	100	50	TRUE	1/16/24 23:21	R_3N4wuRYo5S5Bizn					34.1027	-118.2231	anonymous	EN	Vanessa Griffin	vanessa.griffin@university.edu	Layla King	Stella Mitchell	Liam Johnson			
1/16/24 20:24	1/17/24 0:30	IP Address	99.73.39.229	100	14799	TRUE	1/17/24 0:30	R_1uJbsOqUxxjszPz					37.3177	-122.0438	anonymous	EN	Daniel Diaz	daniel.diaz@university.edu	Maya Richardson	Licia Hayes	Emma Smith	Noah Jones	James Wallace	
1/16/24 22:44	1/17/24 0:34	IP Address	98.207.149.203	100	6607	TRUE	1/17/24 0:34	R_5IiHuY34xXZ3f6V					37.7652	-122.1579	anonymous	EN	Mariana Hayes	mariana.hayes@university.edu	john Powell	Gabriella Ramirez	Lily Scott	Aaliyah Bailey	Paisley Reed	
1/15/24 23:24	1/17/24 0:36	IP Address	108.82.127.215	100	90708	TRUE	1/17/24 0:36	R_3gXAZJfik6XqUkS					33.7256	-117.9119	anonymous	EN	Emilio Myers	emilio.myers@university.edu	Onur Flores	Amelia Anderson	Bella Stewart	Skylar Morris	Rosemary  Russell	
1/3/24 10:07	1/17/24 0:44	IP Address	76.32.208.110	100	1175820	TRUE	1/17/24 0:44	R_5Sw2oh0zYWDW2LT					34.0648	-118.4414	anonymous	EN	Ximena Ford	ximena.ford@university.edu	Licia Hayes	Hazel Phillips	Rosemary  Russell	Ashish West		
1/17/24 0:10	1/17/24 0:56	IP Address	172.115.194.124	100	2753	TRUE	1/17/24 0:56	R_7VQ6M5GOu9mx1El					34.0264	-117.936	anonymous	EN	Carlos Hamilton	carlos.hamilton@university.edu	Skylar Morris	Kimberly Gibson	David Sullivan	Aubrey Nelson		
1/16/24 23:12	1/17/24 0:57	IP Address	136.25.73.215	100	6324	TRUE	1/17/24 0:57	R_3tGjMuq7op9Nbkl					37.8657	-122.2571	anonymous	EN	Luna Graham	luna.graham@university.edu	Emily Harris	Gideon Bryant	Ellie Carter	Emma Smith		
1/11/24 13:47	1/17/24 0:59	IP Address	131.179.95.162	100	472335	TRUE	1/17/24 0:59	R_1FOQQyW04b6kub4					34.0648	-118.4414	anonymous	EN	Alejandro Sullivan	alejandro.sullivan@university.edu	Rosemary  Russell	Aaliyah Bailey	john Powell	Stella Mitchell		
1/17/24 9:10	1/17/24 9:15	IP Address	69.181.38.206	100	299	TRUE	1/17/24 9:15	R_5wld1ZPEnbT5tXr					37.8919	-122.2636	anonymous	EN	Valeria Wallace	valeria.wallace@university.edu	Ellie Carter	Scarlett Lewis	Alice James	Peyton Ross		
