StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q3	Q3_4_TEXT	Q31	Q33	Q34	Q35	Q36	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q12
1/10/24 15:55	1/10/24 17:15	IP Address	128.218.42.185	100	4795	TRUE	1/10/24 17:15	R_7XhoUDR2mKD0VPj					37.7595	-122.4367	anonymous	EN	Brooklyn Collins	Brooklyn.Collins@u.edu	Professor		Mariana Hayes	Luna Ramirez	Andres Richardson	Sofia Rodriguez		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/11/24 15:16	1/11/24 15:22	IP Address	128.218.42.48	100	342	TRUE	1/11/24 15:22	R_1JD6CA09Tlg2JX0					37.7595	-122.4367	anonymous	EN	Bella Stewart	Bella.Stewart@u.edu	Assistant Professor		Luisa Carter	Leonardo Foster	Isabella Hernandez	Leonardo Baker	Valeria Lewis	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/15/24 14:45	1/15/24 15:04	IP Address	128.218.42.218	100	1156	TRUE	1/15/24 15:04	R_1WHIyTL8y8kx1gM					37.7595	-122.4367	anonymous	EN	Claire Sanchez	Claire.Sanchez@u.edu	Professor		Andres Hill	Vanessa Scott	Gabriel Murphy	Natalia Roberts		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	
1/15/24 13:45	1/15/24 15:17	IP Address	192.184.176.24	100	5474	TRUE	1/15/24 15:17	R_1qlAxzR6n9cFUEZ					37.7506	-122.4121	anonymous	EN	Skylar Morris	Skylar.Morris@u.edu	Professor		Samuel Evans	Cristian Wood	Vanessa Griffin	Natalia Adams										Could we have a category 'Cell Biology/Biochemistry' for students to pick next time?
1/15/24 20:15	1/15/24 20:21	IP Address	128.218.42.115	100	374	TRUE	1/15/24 20:21	R_3FPxQkNc3xM1pLY					37.7595	-122.4367	anonymous	EN	Lucy Rogers	Lucy.Rogers@u.edu	Associate Professor		Camila Davis	Andres Russell	Eduardo Brooks			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	The research area options that we and students have to select really don't align with how I would describe my research... I wonder if having more options might help students feel like there are more options at UCSF than are represented in that list. Just a thought...
1/15/24 22:24	1/15/24 22:32	IP Address	23.93.64.48	100	487	TRUE	1/15/24 22:32	R_6hh1NF47Uxhekpz					37.8919	-122.2636	anonymous	EN	Paisley Reed	Paisley.Reed@u.edu	Professor		Isabella Powell	Xavier Bryant	Isabella Edwards	Ximena Peterson		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	
1/15/24 22:41	1/16/24 0:29	IP Address	128.218.42.199	100	6453	TRUE	1/16/24 0:29	R_5QmCQaFjDCcrlZg					37.7595	-122.4367	anonymous	EN	Everly Cook	Everly.Cook@u.edu	Professor		Sofia Rodriguez	Ximena Ford				"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/16/24 9:42	1/16/24 9:52	IP Address	128.218.42.72	100	620	TRUE	1/16/24 9:52	R_5JXWIAyQQ53mh6Q					37.7595	-122.4367	anonymous	EN	Anna Morgan	Anna.Morgan@u.edu	Associate Professor		Valeria Wallace	Valentina Adams	Victoria Watson			"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/16/24 10:07	1/16/24 10:09	IP Address	71.235.135.24	100	148	TRUE	1/16/24 10:09	R_7Eh65sAGwBWGn5v					42.3399	-71.1245	anonymous	EN	Caroline Bell	Caroline.Bell@u.edu	Professor		Adrian Perez	Zoe King	Alejandro Allen			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	Thank you!
1/16/24 11:29	1/16/24 11:32	IP Address	128.218.42.6	100	171	TRUE	1/16/24 11:32	R_632t5PrnYKb85bM					37.7595	-122.4367	anonymous	EN	Genesis Murphy	Genesis.Murphy@u.edu	Associate Professor		Carmen Nelson	Gabriela Turner				"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	Please feel free to match with students interested in neuroscience and development
1/16/24 11:23	1/16/24 11:44	IP Address	128.218.42.90	100	1277	TRUE	1/16/24 11:44	R_3AYfvptaDoURdSC					37.7595	-122.4367	anonymous	EN	Aaliyah Bailey	Aaliyah.Bailey@u.edu	Professor		Valentina Cook	Valentina Adams	Gabriel Murphy	Diego Campbell			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"One of my postdocs is a bioengineer studying organogenesis, regeneration and cancer. He is a great mentor. And he is from Iran so he knows a lot about difficulties."
1/16/24 11:55	1/16/24 11:56	IP Address	128.218.42.223	100	61	TRUE	1/16/24 11:57	R_7QFL6tb72hv21RW					37.7595	-122.4367	anonymous	EN	Kennedy Rivera	Kennedy.Rivera@u.edu	Associate Professor		Alejandro Allen	Samuel Perry	Sofia Rodriguez	Luisa Carter		"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	
1/16/24 12:49	1/16/24 12:52	IP Address	128.218.42.33	100	125	TRUE	1/16/24 12:52	R_3LAMUCQeLhklmRZ					37.7595	-122.4367	anonymous	EN	Kinsley Cooper	Kinsley.Cooper@u.edu	Associate Professor		Isabella Powell	Miguel Mitchell	Diego Campbell	Gabriela Phillips										
1/16/24 11:44	1/16/24 13:10	IP Address	69.209.5.162	100	5175	TRUE	1/16/24 13:10	R_6J4rJerANn9ojZ6					37.7441	-122.48	anonymous	EN	Maya Richardson	Maya.Richardson@u.edu	Associate Professor		Isabella Powell	Javier Sanders	Juan Stewart	Natalia Roberts					"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"		
1/16/24 14:04	1/16/24 14:05	IP Address	128.218.42.123	100	27	TRUE	1/16/24 14:05	R_33921UXZLFqXzBw					37.7595	-122.4367	anonymous	EN	Sarah Cox	Sarah.Cox@u.edu	Associate Professor		Andres Russell	Ana Lopez	Miguel Mitchell			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	
1/16/24 13:52	1/16/24 14:06	IP Address	128.218.42.166	100	813	TRUE	1/16/24 14:06	R_3C1F89GoIaWDZIg					37.7595	-122.4367	anonymous	EN	Elena Howard	Elena.Howard@u.edu	Assistant Professor		Mariana Hayes	Camila Sanchez	Alejandro James	Eduardo Brooks		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	THANK YOU SO MUCH FOR ALL OF YOUR HARD WORK!!
1/16/24 14:12	1/16/24 14:14	IP Address	128.218.42.123	100	122	TRUE	1/16/24 14:14	R_5VwHZesMUwiXGbp					37.7595	-122.4367	anonymous	EN	Adeline Ward	Adeline.Ward@u.edu	Assistant Professor		Gabriel Green	Xavier Bryant	Cristian Wood			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/16/24 14:26	1/16/24 14:28	IP Address	128.218.42.166	100	118	TRUE	1/16/24 14:28	R_7o5C9EsEIfSuCd2					37.7595	-122.4367	anonymous	EN	Ariana Torres	Ariana.Torres@u.edu	Assistant Professor		Cristian Wood	Carlos Gray	Victoria Young	Santiago Martinez	Ana Alexander	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	THANK YOU VERY MUCH FOR ALL OF YOUR HARD WORK!!
12/20/23 15:31	1/16/24 16:13	IP Address	128.218.42.67	100	2335354	TRUE	1/16/24 16:13	R_7qhcvXF4honuQAt					37.7595	-122.4367	anonymous	EN	Eliana Peterson	Eliana.Peterson@u.edu	Associate Professor		Leonardo Morgan	Juan Stewart	Vanessa Scott			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/2/24 16:27	1/16/24 16:17	IP Address	128.218.42.141	100	1209009	TRUE	1/16/24 16:17	R_3dS5YCqz4bvtjqg					37.7595	-122.4367	anonymous	EN	Hailey Gray	Hailey.Gray@u.edu	Assistant Professor		Carlos Gray	Ana Alexander	Samuel Perry			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"				"Yes, I am available at this time"	
1/16/24 16:23	1/16/24 16:25	IP Address	97.141.67.48	100	139	TRUE	1/16/24 16:25	R_6n7nMl1w05TEMxP					34.0772	-117.4506	anonymous	EN	Gabriella Ramirez	Gabriella.Ramirez@u.edu	Associate Professor		Emilio Walker	Natalia Henderson	Javier Baker	Daniel Howard		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	
1/16/24 13:29	1/16/24 17:41	IP Address	128.218.42.92	100	15171	TRUE	1/16/24 17:41	R_69mJ6zE6CxlkwOo					37.7595	-122.4367	anonymous	EN	Alice James	Alice.James@u.edu	Associate Professor		Andres Russell	Ximena Peterson	Mariana Hayes			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/16/24 21:54	1/16/24 21:58	IP Address	107.217.189.90	100	211	TRUE	1/16/24 21:58	R_7RNSHsMVIbjW0Nb					37.7562	-122.4866	anonymous	EN	Madelyn Watson	Madelyn.Watson@u.edu	Professor		Eduardo Hernandez	Daniel Howard	Sebastian Phillips	Carmen Bennett	Eduardo Brooks	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	
1/16/24 15:46	1/16/24 23:07	IP Address	157.131.187.69	100	26426	TRUE	1/16/24 23:07	R_3xReqsxfKy7rlbr					37.7562	-122.4866	anonymous	EN	Cora Brooks	Cora.Brooks@u.edu	Assistant Professor		Mateo Lopez	Mariana Hayes	Diego Campbell	Ana Cooper		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/19/23 16:33	1/17/24 9:45	IP Address	128.218.42.127	100	2481099	TRUE	1/17/24 9:45	R_7zHbsLkoGce3jH3					37.7595	-122.4367	anonymous	EN	Ruby Kelly	Ruby.Kelly@u.edu	Assistant Professor		Valeria Wallace	Mariana Ward				"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/17/24 11:13	1/17/24 11:15	IP Address	128.218.42.232	100	122	TRUE	1/17/24 11:15	R_7RrwUSlqqQuTCGX					37.7595	-122.4367	anonymous	EN	Eva Sanders	Eva.Sanders@u.edu	Associate Professor		Andrea Reed	Zoe Kelly	Vanessa Griffin	Carlos Gray		"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/17/24 11:19	1/17/24 11:24	IP Address	128.218.42.232	100	302	TRUE	1/17/24 11:24	R_59b5GvDXm45rUqj					37.7595	-122.4367	anonymous	EN	Serenity Price	Serenity.Price@u.edu	Associate Professor		Sofia Rodriguez	Alejandro Wilson	Gabriel Green			"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	I submitted 2 surveys. There is a total of 6-7 applicants that would match our lab interests. 
12/21/23 12:19	1/17/24 16:26	IP Address	128.218.42.5	100	2347594	TRUE	1/17/24 16:26	R_6tKGzglZvCLBeZD					37.7595	-122.4367	anonymous	EN	Autumn Bennett	Autumn.Bennett@u.edu	Associate Professor		Mariana Ward	Samuel Perry	Mariana Perez	Juan Stewart	Valeria Bell	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	Apologies for the late response!
